"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"136",12,0.1,0.5,1,0.5,0,1,"hist",56,0.128576,0.00123701544048561,0.1771774,0.000969851452543203,2
"137",12,0.1,0.5,1,0.5,0,1,"hist",57,0.1279488,0.00128709772744668,0.1772594,0.000972073165969078,2
"138",12,0.1,0.5,1,0.5,0,1,"hist",58,0.1274176,0.00124774398015165,0.1772344,0.000927541395300889,2
"139",12,0.1,0.5,1,0.5,0,1,"hist",59,0.1269812,0.0012836962880692,0.1773826,0.00107982583781055,2
"140",12,0.1,0.5,1,0.5,0,1,"hist",60,0.126427,0.00134244895619775,0.177168,0.00126657538267629,2
"141",12,0.1,0.5,1,0.5,0,1,"hist",61,0.1258604,0.00146264357927879,0.1769212,0.00118379075853952,2
"142",12,0.1,0.5,1,0.5,0,1,"hist",62,0.1249834,0.00121813572314466,0.176792,0.00152236618459696,2
"143",12,0.1,0.5,1,0.5,0,1,"hist",63,0.1244754,0.00117447087660852,0.1766964,0.00159650062323708,2
"144",12,0.1,0.5,1,0.5,0,1,"hist",64,0.1242246,0.00124926355906201,0.1767956,0.00159058462208107,2
"145",12,0.1,0.5,1,0.5,0,1,"hist",65,0.1235602,0.00120133698852509,0.1767284,0.00159026747435735,2
"146",12,0.1,0.5,1,0.5,0,1,"hist",66,0.123235,0.00104146896257276,0.1767242,0.00147812454143794,2
"147",12,0.1,0.5,1,0.5,0,1,"hist",67,0.122523,0.000835345437529902,0.176621,0.00153676595485394,2
"148",12,0.1,0.5,1,0.5,0,1,"hist",68,0.1220966,0.000970837906140771,0.1767146,0.00188868923859939,2
"149",12,0.1,0.5,1,0.5,0,1,"hist",69,0.121782,0.00100283378483159,0.1766868,0.00182728797949182,2
"150",12,0.1,0.5,1,0.5,0,1,"hist",70,0.1212176,0.000935270784318771,0.1765694,0.0016844574913,2
"151",12,0.1,0.5,1,0.5,0,1,"hist",71,0.1206054,0.000934025824054042,0.17661,0.00216622094902711,2
"152",12,0.1,0.5,1,0.5,0,1,"hist",72,0.1199754,0.00108881947080308,0.1766458,0.00207111490748429,2
"153",12,0.1,0.5,1,0.5,0,1,"hist",73,0.1195792,0.00109936661764874,0.1767026,0.00196887801552049,2
"154",12,0.1,0.5,1,0.5,0,1,"hist",74,0.1192324,0.00113096871751581,0.1766198,0.00221032408483522,2
"155",12,0.1,0.5,1,0.5,0,1,"hist",75,0.1189004,0.0011153151303551,0.176728,0.00207201206560167,2
"156",12,0.1,0.5,1,0.5,0,1,"hist",76,0.1185084,0.00100833974433122,0.1767126,0.00206129469993924,2
"157",12,0.1,0.5,1,0.5,0,1,"hist",77,0.118236,0.00107166058059469,0.1767882,0.00214622257932424,2
"158",12,0.1,0.5,1,0.5,0,1,"hist",78,0.1179894,0.000960308200527781,0.1767928,0.00216775398973312,2
"159",12,0.1,0.5,1,0.5,0,1,"hist",79,0.117572,0.00109544566273274,0.1766242,0.00213049321988907,2
"160",12,0.1,0.5,1,0.5,0,1,"hist",80,0.1172644,0.00110816507795509,0.1768204,0.00222332639079461,2
"161",12,0.2,0.5,1,0.5,0,1,"hist",1,0.27163,0.00695712710822623,0.2751064,0.00614990954730263,3
"162",12,0.2,0.5,1,0.5,0,1,"hist",2,0.2407854,0.00466360519769805,0.2457936,0.00411220051067583,3
"163",12,0.2,0.5,1,0.5,0,1,"hist",3,0.225406,0.00390322241231526,0.2328766,0.00307098476714004,3
"164",12,0.2,0.5,1,0.5,0,1,"hist",4,0.217337,0.00328805456159212,0.2261364,0.00255399769773019,3
"165",12,0.2,0.5,1,0.5,0,1,"hist",5,0.21236,0.00232537678667486,0.2218188,0.0018888896632696,3
"166",12,0.2,0.5,1,0.5,0,1,"hist",6,0.2065732,0.001731979953693,0.2170724,0.00172486157125724,3
"167",12,0.2,0.5,1,0.5,0,1,"hist",7,0.203592,0.00264139379873719,0.2147298,0.00264289745544445,3
"168",12,0.2,0.5,1,0.5,0,1,"hist",8,0.1997598,0.0021255769475609,0.2117382,0.00221421764061081,3
"169",12,0.2,0.5,1,0.5,0,1,"hist",9,0.1959064,0.0020161236668405,0.2085356,0.00204788823914006,3
"170",12,0.2,0.5,1,0.5,0,1,"hist",10,0.1929976,0.00242372528146279,0.2067968,0.00208382911007527,3
"171",12,0.2,0.5,1,0.5,0,1,"hist",11,0.1883192,0.00245207800854764,0.2037126,0.00222475657994476,3
"172",12,0.2,0.5,1,0.5,0,1,"hist",12,0.1852086,0.00195627345736735,0.2017542,0.00196424717385521,3
"173",12,0.2,0.5,1,0.5,0,1,"hist",13,0.1824394,0.00210275025621205,0.2002528,0.00235263693756519,3
"174",12,0.2,0.5,1,0.5,0,1,"hist",14,0.1803638,0.00196854518871286,0.1990248,0.00250311137586639,3
"175",12,0.2,0.5,1,0.5,0,1,"hist",15,0.178172,0.00198513505837933,0.1975692,0.00246244134143274,3
"176",12,0.2,0.5,1,0.5,0,1,"hist",16,0.174896,0.00221225052830807,0.1954384,0.00240138473385673,3
"177",12,0.2,0.5,1,0.5,0,1,"hist",17,0.173366,0.00177859967390211,0.1946132,0.00232830551259797,3
"178",12,0.2,0.5,1,0.5,0,1,"hist",18,0.171008,0.00253435830142539,0.1930138,0.00201534487371422,3
"179",12,0.2,0.5,1,0.5,0,1,"hist",19,0.1690194,0.00306450861313902,0.191888,0.00239271168342489,3
"180",12,0.2,0.5,1,0.5,0,1,"hist",20,0.1672768,0.00302889084649798,0.1907216,0.00210213440102986,3
"181",12,0.2,0.5,1,0.5,0,1,"hist",21,0.165648,0.00228683318149851,0.1899992,0.00166767687517521,3
"182",12,0.2,0.5,1,0.5,0,1,"hist",22,0.1638288,0.00265653416315332,0.189372,0.0022042507116914,3
"183",12,0.2,0.5,1,0.5,0,1,"hist",23,0.162125,0.00321399757311692,0.1880914,0.00191722785291716,3
"184",12,0.2,0.5,1,0.5,0,1,"hist",24,0.16108,0.00321049802990094,0.1881122,0.00157730369935561,3
"185",12,0.2,0.5,1,0.5,0,1,"hist",25,0.1592712,0.00359088509423541,0.1874798,0.00190176511693681,3
"186",12,0.2,0.5,1,0.5,0,1,"hist",26,0.1570868,0.00300399676431276,0.1860938,0.00168990158293256,3
"187",12,0.2,0.5,1,0.5,0,1,"hist",27,0.1560802,0.00296430352022205,0.1857096,0.00185909296163407,3
