"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"128",3,0,1,1,1,0,1,"hist",48,0.23067,0.000767959113495695,0.232555,0.00149331443440213
"129",3,0,1,1,1,0,1,"hist",49,0.230318,0.000942691678125726,0.2322466,0.00159247299506064
"130",3,0,1,1,1,0,1,"hist",50,0.2299926,0.000878285056234011,0.2320114,0.00156793145258113
"131",3,0,1,1,1,0,1,"hist",51,0.2297026,0.000818681525378968,0.2317532,0.00149879837203157
"132",3,0,1,1,1,0,1,"hist",52,0.229397,0.00080451650076521,0.2314434,0.00155060254094933
"133",3,0,1,1,1,0,1,"hist",53,0.2292498,0.000818743769444379,0.2312846,0.00156010033010506
"134",3,0,1,1,1,0,1,"hist",54,0.2289878,0.000831078672574397,0.2310578,0.00161392061762425
"135",3,0,1,1,1,0,1,"hist",55,0.2287332,0.000818717387131224,0.2308176,0.00158043280148319
"136",3,0,1,1,1,0,1,"hist",56,0.228471,0.000869059031363299,0.2305718,0.00157556636166247
"137",3,0,1,1,1,0,1,"hist",57,0.2281934,0.000956206797719551,0.2302802,0.00146563029444931
"138",3,0,1,1,1,0,1,"hist",58,0.227856,0.00103285991305611,0.2300114,0.00154949367213785
"139",3,0,1,1,1,0,1,"hist",59,0.2275266,0.0010093549623405,0.2297622,0.00161454630159689
"140",3,0,1,1,1,0,1,"hist",60,0.2272478,0.00101715788351801,0.2295516,0.00158786682061358
"141",3,0,1,1,1,0,1,"hist",61,0.2269932,0.000949986820960668,0.2292974,0.00156929138148536
"142",3,0,1,1,1,0,1,"hist",62,0.2266484,0.000980260495991828,0.2288698,0.00157546836211008
"143",3,0,1,1,1,0,1,"hist",63,0.2263756,0.00100558194097106,0.2285832,0.00154376428252207
"144",3,0,1,1,1,0,1,"hist",64,0.226122,0.00109278341861633,0.228368,0.00156443485003492
"145",3,0,1,1,1,0,1,"hist",65,0.2258986,0.00105938446278869,0.2282088,0.00156121419414602
"146",3,0,1,1,1,0,1,"hist",66,0.2256152,0.00102664100833805,0.2279434,0.00157034870013061
"147",3,0,1,1,1,0,1,"hist",67,0.2254022,0.000964540802663168,0.2277192,0.00158123969087542
"148",3,0,1,1,1,0,1,"hist",68,0.2251168,0.000856483368197993,0.2274448,0.00142655688985776
